GISJOIN,Avg_Life_Expect,se,Abridged_life_table_flag
G3600850024800,77.6,0.8688,3
G3600850024402,82.2,2.0334,3
G3600850024401,81.3,1.9882,3
G3600850022600,79.8,1.6586,3
G3600850019800,81,2.1366,3
G3600850020803,77.1,1.0817,3
G3600850029102,80.1,2.0345,3
G3600850022800,,,
G3600850020801,80.1,1.2507,3
G3600850020804,80.1,0.9576,3
G3600850017600,80.1,0.9894,3
G3600850017010,80.9,1.7237,3
G3600850017005,81.1,1.5081,3
G3600850017007,80,1.9192,3
G3600850017009,79.3,1.3936,3
G3600850032300,78.9,3.3524,2
G3600850029103,82.5,1.7176,3
G3600850015602,81.1,1.2826,3
G3600850017008,81.5,1.3986,3
G3600850027900,78.8,1.4327,3
G3600850027702,82.1,1.9119,3
G3600850015603,77.8,1.2007,3
G3600850015400,,,
G3600850031902,75.8,1.3153,3
G3600850017011,83.3,2.564,3
G3600850017012,83.3,2.0077,3
G3600850029104,80.1,1.258,3
G3600850015601,85.2,2.2583,3
G3600850014607,80.5,1.4726,3
G3600850027301,81,2.8544,3
G3600850013203,81.1,1.6975,3
G3600850014604,79.6,1.5269,3
G3600850027706,83.3,2.5674,3
G3600850014608,85.1,2.8509,3
G3600850014606,80.7,1.5745,3
G3600850014605,81.7,1.8134,3
G3600850027704,86.9,3.1648,3
G3600850027302,83.3,2.8165,3
G3600850031901,76.8,1.5945,2
G3600850018100,77.2,1.2294,3
G3600850012805,83.1,2.667,3
G3600850013800,84.8,2.0022,3
G3600850027705,81.6,1.4843,3
G3600850013204,81.2,1.7703,3
G3600850030301,84,2.9582,3
G3600850030302,79.5,1.62,3
G3600850023100,75.8,1.9563,3
G3600850025100,79.9,1.4801,3
G3600850023900,74,1.9967,3
G3600850018902,83.4,1.6791,3
G3600850012806,77.3,1.1588,3
G3600850018901,81.9,1.7021,3
G3600850013201,84.5,2.1416,3
G3600850020700,75,1.7774,3
G3600850017300,80.7,2.6629,3
G3600850012804,78.6,1.8428,3
G3600850012200,80.4,1.7005,3
G3600850013400,78.9,1.3192,3
G3600850019700,81.7,2.4901,3
G3600850014700,79.9,1.5362,3
G3600850017700,,,
G3600850016901,84.1,3.1386,3
G3600850024700,78.8,1.6736,3
G3600850021300,75.8,1.8933,1
G3600850015100,82.3,1.9555,3
G3600850018702,78.5,0.8706,3
G3600850009700,78.9,1.625,3
G3600850011202,80.8,2.2344,3
G3600850020100,77,1.2993,3
G3600850018701,79.9,2.296,3
G3600850011402,77.9,1.754,3
G3600850012100,81.6,1.4264,3
G3600850013302,76.6,2.7608,3
G3600850011201,81.8,2.3947,3
G3600850012500,77.4,2.3442,3
G3600850014100,79.7,1.8007,3
G3600850013301,73.6,3.6542,3
G3600850011401,75.6,1.8614,3
G3600850010500,80.1,1.8435,3
G3600850006700,79.5,2.1777,3
G3600850005900,80.7,2.1322,3
G3600850009602,80.1,2.0833,3
G3600850007000,80.2,1.244,3
G3600850004700,78.6,1.5267,3
G3600850003900,82.7,2.8191,3
G3600850009601,81.1,1.5235,3
G3600850005000,79.2,1.4121,3
G3600850001800,,,
G3600850008100,72.3,1.2487,3
G3600850007400,78.6,1.9938,3
G3600850006400,76,1.692,3
G3600850000600,80,1.9019,3
G3600850002002,83.2,2.1483,3
G3600850002100,74.7,2.8549,3
G3600850007500,71.5,1.147,3
G3600850003300,83.6,2.8948,3
G3600850000700,77.9,1.854,2
G3600850002700,61.9,1.5254,3
G3600850000300,75.9,2.7139,3
G3600850002001,79.7,2.4899,3
G3600850000800,82.1,2.4014,3
G3600850004000,76.8,1.5784,2
G3600850002900,74.7,1.7647,3
G3600850001700,,,
G3600850007700,,,
G3600850000900,,,
G3600850003600,80.3,2.088,3
G3600850001100,75.6,1.7557,3
G3600470016400,,,
G3600610000500,,,
G3600470005602,81.7,1.1785,2
G3600470016800,85,2.5032,3
G3600470033600,79.9,1.5728,3
G3600470005300,78.2,2.9631,3
G3600470016200,81,2.2715,3
G3600470003400,83.4,2.3358,3
G3600470005601,80.4,2.3416,3
G3600470001800,,,
G3600470005202,78.1,1.4037,3
G3600470015200,80.8,1.2608,3
G3600470003800,81.6,1.9662,3
G3600470034000,74.7,3.1109,3
G3600470005201,79.7,1.6859,3
G3600470033000,79.3,3.0595,3
G3600470005400,82.5,1.8241,3
G3600470008500,73.4,1.9667,3
G3600470031400,81.5,1.8316,3
G3600470034200,71.6,1.379,1
G3600470005000,80.9,1.3966,3
G3600470032800,75.6,1.5599,3
G3600470032600,77.3,2.2054,3
G3600470017400,80.3,1.1891,2
G3600810091601,78.7,1.2791,3
G3600470004400,82.6,1.9597,3
G3600470010100,82.9,3.9978,3
G3600470017000,83.2,1.6369,3
G3600470004600,82.6,1.3073,2
G3600470005900,73.4,3.7315,3
G3600470035200,,,
G3600470034800,,,
G3600470061600,80.1,1.9497,3
G3600470035000,82.7,2.1464,3
