INTPTLAT,INTPTLON,GISJOIN,YEAR,Median_age,Population,WhiteAlone,BlackAlone,NativeAlone,BlackAlonWithComb,Hisp_Latino,MedHouseholdIncome,PerCapitaIncome,MedYearBuilt,MedianValue,PctNonWhite,PctBlackOnly,PctHisLatOnly,HsngUnits,HsngDenPerHac,pop_65above,Fem_65Above,Commute30Over,commute60Over,commutePtransitOver60,commuteWalkBike,LivingAloneOver65,LessThanHighSchool,TotPopulation,pct_fem65Over,pct_popOver65,pctCommute60Over,pctCommutePTnsitOver60,pctCommuteWalkBike,pct_LivingAlone65Over,pct_LessThanHighSchool,pctMobileHomes,BlcokG_Area_SqMeter,WaterFront,NearParks,NearMajorParks,boro_name
40.8245444,-73.9131209,G36000500141001,2012-2016,30.5,1445,277,584,0,584,902,24265,16677,2003,<Null>,80.83045,40.41523,62.42215,628,112.2761,87,70,521,213,180,38,56,108,1445,4.844291,6.020761,14.74048,12.45675,2.629758,3.875432,7.474049,0,55933.53506,No,No,NO,Bronx
40.8309816,-73.905087,G36000500145001,2012-2016,35.7,2003,171,1061,33,1093,1005,29479,12639,1962,60800,91.46281,54.56815,50.17474,771,163.9526,262,139,637,371,234,37,76,97,2003,6.93959,13.08038,18.52222,11.68248,1.847229,3.794308,4.842736,0,47025.78641,No,No,NO,Bronx
40.8202395,-73.9080678,G36000500075002,2012-2016,27.3,2731,124,1452,0,1473,1461,30208,14588,2003,298200,95.45954,53.93629,53.49689,1020,93.52805,236,154,550,153,153,96,66,136,2731,5.63896,8.641523,5.602344,5.602344,3.515196,2.416697,4.979861,0,109058.199,No,Yes,NO,Bronx
40.8989195,-73.8564428,G36000500418001,2012-2016,40.3,936,85,414,0,519,233,63333,24075,1939,452900,90.9188,55.44872,24.89316,310,22.01839,96,58,282,152,140,0,25,82,936,6.196581,10.25641,16.23932,14.95726,0,2.67094,8.760684,0,140791.4009,No,Yes,Yes,Bronx
40.828105,-73.8926521,G36000500125001,2012-2016,26.6,2935,374,785,0,1007,2138,25726,12022,1989,440800,87.25724,34.31005,72.84497,956,96.15912,192,92,693,191,174,98,51,462,2935,3.134583,6.541738,6.507666,5.92845,3.339012,1.737649,15.74106,0,99418.55009,No,Yes,NO,Bronx
40.8253679,-73.8933822,G36000500127012,2012-2016,34.8,1061,195,259,0,259,769,21607,14168,1942,342000,81.62111,24.41093,72.47879,370,54.83234,126,41,296,132,125,23,27,103,1061,3.864279,11.87559,12.44109,11.78134,2.167766,2.544769,9.707823,0,67478.42525,No,Yes,NO,Bronx
40.8296369,-73.8824371,G36000500054003,2012-2016,29.7,1031,290,53,0,53,816,23169,13047,1939,438700,71.87197,5.14064,79.14646,360,62.39682,92,39,223,126,109,21,63,212,1031,3.782735,8.923375,12.22114,10.57226,2.036857,6.110572,20.56256,0,57695.25237,No,Yes,NO,Bronx
40.8044882,-73.9157266,G36000500027011,2012-2016,24.6,1364,199,608,0,646,747,11600,8575,1954,<Null>,85.41056,47.3607,54.7654,534,135.7339,92,44,305,130,130,61,47,11,1364,3.225806,6.744868,9.530792,9.530792,4.472141,3.445748,0.806452,0,39341.6736,No,Yes,NO,Bronx
40.8870918,-73.8435899,G36000500458001,2012-2016,27,1168,34,389,0,458,782,33370,12823,1953,<Null>,97.08904,39.21233,66.95206,454,55.06453,50,11,374,367,367,88,50,43,1168,0.941781,4.280822,31.42123,31.42123,7.534246,4.280822,3.681507,0,82448.72783,No,Yes,Yes,Bronx
40.8561564,-73.8688238,G36000500224011,2012-2016,37.8,1291,354,131,0,146,876,41774,35434,1939,126900,72.5794,11.30906,67.85438,592,166.1435,166,120,449,210,186,0,87,127,1291,9.29512,12.85825,16.26646,14.40744,0,6.738962,9.837336,0,35631.85375,No,Yes,Yes,Bronx
